iter	Passed	Remaining
0	3	327
1	6	313
2	9	301
3	11	284
4	14	282
5	17	279
6	20	276
7	24	276
8	26	272
9	29	268
10	32	264
11	35	262
12	38	256
13	40	247
14	42	239
15	44	231
16	45	222
17	47	214
18	48	207
19	50	200
20	51	193
21	52	187
22	54	180
23	55	175
24	56	169
25	57	165
26	59	160
27	60	155
28	61	151
29	63	147
30	64	143
31	66	140
32	67	136
33	68	133
34	69	129
35	71	126
36	72	123
37	73	120
38	75	117
39	76	114
40	77	111
41	78	108
42	79	105
43	80	102
44	82	100
45	83	97
46	84	95
47	85	92
48	86	90
49	88	88
50	89	85
51	90	83
52	92	81
53	93	79
54	94	77
55	95	74
56	96	72
57	97	70
58	99	68
59	100	66
60	101	64
61	102	63
62	104	61
63	105	59
64	106	57
65	108	55
66	109	54
67	110	52
68	112	50
69	113	48
70	114	46
71	115	45
72	117	43
73	118	41
74	119	39
75	120	38
76	123	36
77	126	35
78	128	34
79	129	32
80	130	30
81	131	28
82	132	27
83	134	25
84	135	23
85	136	22
86	137	20
87	139	18
88	140	17
89	141	15
90	142	14
91	144	12
92	145	10
93	146	9
94	147	7
95	149	6
96	150	4
97	151	3
98	152	1
99	154	0
