iter	Passed	Remaining
0	313	313445
1	316	157785
2	318	105696
3	319	79640
4	321	64001
5	325	53861
6	327	46508
7	330	40927
8	331	36553
9	333	33046
10	335	30163
11	337	27792
12	342	25977
13	344	24253
14	346	22769
15	348	21459
16	428	24785
17	430	23486
18	432	22320
19	434	21293
20	438	20453
21	440	19601
22	442	18808
23	444	18078
24	446	17407
25	448	16786
26	449	16211
27	453	15757
28	455	15261
29	457	14808
30	460	14383
31	462	13985
32	464	13606
33	466	13263
34	469	12948
35	471	12624
36	475	12368
37	477	12093
38	479	11820
39	483	11598
40	485	11356
41	489	11171
42	493	10987
43	495	10761
44	498	10578
45	500	10381
46	502	10186
47	504	10000
48	506	9832
49	514	9771
50	517	9636
51	519	9477
52	521	9323
53	524	9181
54	525	9037
55	532	8975
56	534	8847
57	536	8717
58	538	8589
59	541	8481
60	550	8466
61	551	8350
62	553	8237
63	556	8137
64	558	8037
65	568	8043
66	570	7942
67	572	7843
68	574	7754
69	580	7713
70	582	7621
71	584	7531
72	586	7444
73	588	7361
74	590	7277
75	596	7249
76	598	7168
77	599	7090
78	601	7013
79	605	6962
80	611	6934
81	613	6864
82	614	6786
83	616	6720
84	618	6658
85	620	6593
86	629	6609
87	631	6546
88	633	6484
89	635	6424
90	637	6365
91	640	6323
92	643	6274
93	645	6219
94	654	6231
95	656	6186
96	658	6134
97	660	6082
98	662	6032
99	671	6045
100	673	5999
101	676	5953
102	678	5909
103	684	5898
104	687	5857
105	689	5811
106	690	5766
107	692	5721
108	697	5699
109	700	5670
110	703	5630
111	705	5590
112	706	5548
113	708	5507
114	711	5476
115	714	5448
116	716	5407
117	718	5371
118	720	5336
119	723	5305
120	729	5301
121	731	5264
122	733	5231
123	807	5702
124	813	5696
125	816	5664
126	817	5622
127	822	5599
128	830	5605
129	833	5575
130	835	5543
131	837	5507
132	845	5514
133	847	5479
134	853	5465
135	860	5468
136	863	5437
137	864	5402
138	866	5369
139	868	5336
140	875	5332
141	876	5295
142	882	5287
143	884	5255
144	891	5254
145	893	5225
146	895	5194
147	896	5163
148	898	5133
149	900	5103
150	902	5075
151	904	5047
152	906	5020
153	909	4994
154	913	4981
155	918	4966
156	919	4939
157	922	4914
158	925	4893
159	931	4888
160	932	4858
161	934	4832
162	935	4805
163	937	4780
164	940	4757
165	945	4748
166	948	4730
167	950	4706
168	952	4684
169	955	4663
170	956	4639
171	960	4623
172	962	4599
173	964	4578
174	966	4557
175	968	4533
176	970	4511
177	976	4508
178	978	4485
179	979	4463
180	981	4442
181	983	4420
182	985	4398
183	991	4396
184	993	4376
185	995	4354
186	996	4334
187	999	4316
188	1001	4295
189	1007	4295
190	1023	4336
191	1026	4320
192	1028	4302
193	1031	4283
194	1042	4304
195	1044	4286
196	1046	4266
197	1048	4247
198	1054	4244
199	1056	4227
200	1058	4208
201	1060	4189
202	1062	4170
203	1064	4151
204	1071	4155
205	1160	4474
206	1163	4458
207	1170	4457
208	1173	4441
209	1175	4422
210	1179	4409
211	1187	4412
212	1190	4398
213	1192	4380
214	1195	4364
215	1202	4364
216	1205	4350
217	1209	4337
218	1219	4348
219	1221	4330
220	1223	4311
221	1225	4294
222	1234	4299
223	1236	4282
224	1238	4265
225	1240	4248
226	1243	4233
227	1250	4232
228	1252	4216
229	1254	4199
230	1256	4182
231	1259	4168
232	1264	4163
